"id","sexo","tramo_edad","quintil_ingreso","educ","ideologia","trade_crecimiento_desigualdad","trade_ambiente_empleo","trade_derechos_laborales","provision_pensiones","provision_salud","provision_educ_escolar","provision_educ_universitaria","provision_cuidado_ninos","provision_cuidado_mayores","zona","region","condicion_exp","emocion_pais","eval_pais_retro","eval_pais_prospectivo","problema_delincuencia","problema_migracion","problema_crecimiento","problema_desempleo","problema_salud","problema_corrupcion","problema_pobreza","problema_sueldos","problema_precios","problema_educacion","problema_pensiones","problema_vivienda","problema_genero","problema_ambiente","problema_transporte","problema_desigualdad","emergencia_economica","medida_imp_empresas","medida_tramites_amb","medida_gratuidad","medida_contrib_adulto","medida_imp_inversionistas","percep_benef_empresas","percep_necesarias","percep_prioriza_ricos","percep_bases_solidas","percep_confianza_plan","gob_distinto_campana","gob_favorece_ricos","gob_buen_camino","gob_capacidad","tiempo_confianza_gob","meta_prioritaria_kast","voto_2da_vuelta","eval_gobierno_kast","gob_vs_expectativa","intervencion_estado","trade_estado_grande","resp_estado_pensiones","resp_estado_empleo","resp_estado_educ_uni","resp_estado_salud","resp_estado_vivienda","resp_estado_transporte","resp_estado_internet","fichas_salud","fichas_educ","fichas_pensiones","fichas_seguridad","fichas_vivienda","fichas_fomento","fichas_redes","justo_pension_aporte","justo_educ_pago","justo_salud_pago","imp_prefiero_menos","imp_justo_ricos_mas","imp_mal_gasto_estado","imp_bajar_genera_empleo","chequeo_atencion","redistrib_reducir_diferencias","redistrib_ayuda_pobres","redistrib_nivel_vida_desemp","imp_aumentar_altos_ingresos","imp_herencia_ricos","educacion_nivel","actividad_principal","ingreso_hogar","llega_fin_mes","impacto_alza_precios","economia_hogar_retro","economia_hogar_prospectiva","autoubicacion_izq_der","edad_grupo_banda","educacion_nivel_r","ingreso_hogar_r","zona_r","autoubicacion_izq_der_r","ponderador","gse"
1,"Mujer","18-29","Q4","Técnica superior","Izquierda",3,2,2,1,1,1,1,1,1,1,7,1,6,3,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,3,2,3,4,2,3,3,4,3,3,3,3,4,3,2,2,2,3,1,4,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,4,2,1,2,3,5,3,2,4,5,4,4,5,7,1,7,3,3,2,3,5,1,11,15,18,13,0.96179554729884,"C2"
2,"Hombre","30-49","Q2","Técnica superior","Centro",2,2,2,1,1,1,1,3,1,1,7,3,12,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,2,2,4,5,4,4,4,3,3,3,4,3,3,2,3,1,2,2,4,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,3,2,3,4,4,3,2,7,1,1,3,1,6,1,3,3,3,2,1,6,2,11,13,18,6,0.08472250850829,"D"
3,"Hombre","18-29","Q4","Universitaria o más","Derecha",4,2,1,2,1,2,2,2,2,3,2,1,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3,5,5,5,2,5,2,5,5,2,3,5,5,2,4,1,1,3,3,2,1,2,2,1,1,1,1,3,1,1,2,1,1,1,5,5,3,5,4,5,5,2,4,3,4,5,3,9,1,8,3,3,3,3,7,1,12,15,17,14,0.39604249411041,"ABC1"
4,"Mujer","18-29","Q3","Universitaria o más","Derecha",2,2,3,1,1,2,2,2,2,5,8,2,9,3,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,4,3,4,3,4,5,3,2,4,4,3,4,1,3,3,3,4,1,2,1,1,1,2,2,4,2,0,2,0,0,2,4,5,5,2,3,4,3,2,3,4,3,5,4,10,2,5,2,3,4,4,8,1,12,14,19,14,0.22831899052712,"C2"
5,"Hombre","30-49","Q4","Universitaria o más","Ninguno",1,1,1,1,1,1,1,1,1,1,13,1,14,5,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,1,1,1,3,1,5,1,5,1,1,5,5,1,1,6,7,3,2,2,5,1,1,1,1,1,1,1,1,3,3,1,0,3,0,0,5,2,2,1,4,4,1,2,4,7,7,7,7,9,1,8,3,4,4,4,12,2,12,15,13,12,0.22085578461164,"C2"
6,"Mujer","50-99","Q3","Básica hasta media","Derecha",4,4,2,1,1,1,1,1,1,1,13,1,1,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,4,4,4,2,4,4,4,2,6,1,1,3,3,2,1,1,1,1,1,1,1,2,1,1,1,1,3,1,4,1,1,2,4,4,4,2,1,1,7,4,7,5,1,5,2,3,2,4,11,3,13,14,13,14,3.42037267558685,"D"
7,"Hombre","50-99","Q2","Técnica superior","Centro",1,1,1,1,1,1,1,1,1,1,7,3,6,5,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,5,1,1,5,5,1,5,6,3,1,2,2,3,1,1,1,1,1,1,1,1,2,1,2,2,1,2,0,5,1,1,1,5,1,1,2,7,7,7,7,1,6,1,4,1,4,1,1,6,3,11,13,18,6,0.14478383205898,"C3"
8,"Hombre","30-49","Q3","Universitaria o más","Ninguno",2,2,1,1,1,3,3,1,1,1,13,3,6,4,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,1,4,5,3,3,4,4,4,4,4,3,3,4,5,6,1,1,2,4,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,4,1,1,2,5,3,1,2,5,3,3,3,5,9,4,5,2,4,2,4,12,2,12,14,13,12,0.0577782971487,"ABC1"
9,"Mujer","50-99","Q2","Técnica superior","Derecha",4,3,4,1,1,1,1,1,1,1,5,1,3,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,2,2,2,3,3,4,4,4,3,2,3,4,4,3,3,1,1,3,3,4,1,1,1,1,1,1,1,2,1,1,3,1,1,1,4,3,4,4,2,4,3,2,2,4,2,3,5,7,1,4,3,2,2,2,10,3,11,13,18,14,0.25143173003087,"D"
10,"Hombre","18-29","Q5","Universitaria o más","Derecha",2,4,2,3,1,1,2,3,2,1,13,2,12,3,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,3,4,3,3,4,3,4,4,4,3,4,3,2,5,3,1,2,2,3,4,1,1,1,1,2,1,2,1,2,1,3,1,2,0,4,3,2,4,4,4,2,2,4,5,3,4,5,9,1,9,3,3,2,4,7,1,12,16,13,14,0.82337274808815,"C2"
11,"Mujer","30-49","Q4","Básica hasta media","Centro",3,3,3,1,1,1,2,2,2,1,7,3,12,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,4,3,3,4,4,4,4,4,4,4,3,4,4,4,2,2,1,3,2,3,3,1,1,1,1,1,1,2,1,2,1,1,1,3,1,4,4,4,4,4,4,4,2,4,5,6,6,6,5,1,8,4,2,3,5,6,2,13,15,18,6,3.51863942979987,"C2"
12,"Mujer","30-49","Q3","Básica hasta media","Izquierda",2,2,1,1,1,1,1,1,1,1,13,3,12,4,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,2,2,2,2,2,5,1,5,2,2,4,5,2,2,3,3,5,2,2,5,4,1,1,1,1,1,2,2,2,2,2,1,1,1,1,3,2,2,1,5,3,2,2,6,7,5,4,7,5,1,5,2,4,2,3,5,2,13,14,13,13,2.00148420571493,"C3"
13,"Hombre","30-49","Q4","Técnica superior","Ninguno",2,2,1,2,2,2,2,2,2,5,14,3,3,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,4,3,3,3,3,4,3,4,4,3,2,4,4,2,2,3,1,3,4,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,4,1,2,2,4,5,4,2,5,6,6,5,6,6,1,7,2,3,2,2,12,2,11,15,19,12,0.58839612516618,"C3"
14,"Mujer","50-99","Q4","Técnica superior","Izquierda",1,1,1,1,1,1,1,1,1,1,13,1,7,5,5,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4,4,4,1,5,4,1,4,5,2,1,1,5,1,1,1,1,2,2,3,5,4,1,1,1,1,1,1,1,2,2,2,NA,1,1,1,3,1,1,2,5,4,2,2,6,7,7,7,7,7,2,7,1,3,2,2,3,3,11,15,13,13,0.97362015067319,"C2"
15,"Hombre","30-49","Q3","Universitaria o más","Ninguno",1,1,1,2,2,1,2,2,2,5,10,3,14,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,1,5,5,1,3,2,5,4,4,5,4,3,2,1,6,1,2,1,4,3,1,1,2,1,1,1,1,2,1,2,1,2,1,1,3,2,1,1,4,4,4,2,7,6,4,5,5,8,1,6,1,3,2,2,12,2,12,14,19,12,0.10362541096921,"C3"
16,"Mujer","30-49","Q5","Universitaria o más","Ninguno",2,2,1,1,1,1,1,1,1,1,5,3,12,3,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,4,4,1,5,2,3,3,4,3,3,4,4,2,1,2,6,3,2,2,4,4,1,1,1,1,1,1,2,2,2,1,2,1,1,1,3,1,1,1,5,2,4,2,3,7,7,7,7,8,6,9,2,4,3,4,12,2,12,16,18,12,1.49954487986896,"ABC1"
17,"Hombre","18-29","Q1","Técnica superior","Centro",2,2,3,3,3,3,2,3,2,1,7,1,14,5,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,5,1,1,1,5,1,5,2,5,5,5,1,1,6,5,2,2,3,5,3,1,1,1,1,1,1,1,1,1,1,2,2,2,1,3,2,3,1,1,5,5,2,2,4,5,1,3,6,2,2,3,3,3,3,6,1,11,12,18,6,0.12189584947017,"C3"
18,"Hombre","30-49","Q3","Técnica superior","Derecha",3,3,3,1,2,2,2,1,2,1,5,1,1,2,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,3,3,4,3,1,1,1,1,1,2,2,4,2,3,0,1,0,0,3,3,3,3,3,3,3,2,4,4,4,4,4,7,1,6,3,2,3,4,9,2,11,14,18,14,0.11419917115596,"ABC1"
